1.291059;10.0;0.0;5.0E-5;0.0
1.291059;10.0;0.0;2.0E-4;0.0
1.291059;10.0;0.0;8.0E-4;0.0
1.291059;10.0;0.0;0.003;0.0
1.291059;10.0;0.0;0.01;0.0
1.291059;10.0;0.0;0.05;0.0
1.291059;10.0;0.0;0.2;0.0
1.291059;10.0;0.0;0.8;0.0
1.291059;10.0;0.0;3.2;0.0
1.291059;10.0;0.0;13.1;0.0
1.291059;10.0;0.0;52.4;0.0
1.291059;10.0;0.1;5.0E-5;1.4155343563970746E-15
1.291059;10.0;0.1;2.0E-4;1.4155343563970746E-15
1.291059;10.0;0.1;8.0E-4;1.4155343563970746E-15
1.291059;10.0;0.1;0.003;1.4155343563970746E-15
1.291059;10.0;0.1;0.01;1.4155343563970746E-15
1.291059;10.0;0.1;0.05;1.4155343563970746E-15
1.291059;10.0;0.1;0.2;1.4155343563970746E-15
1.291059;10.0;0.1;0.8;1.4155343563970746E-15
1.291059;10.0;0.1;3.2;1.4155343563970746E-15
1.291059;10.0;0.1;13.1;1.4155343563970746E-15
1.291059;10.0;0.1;52.4;1.4155343563970746E-15
1.291059;10.0;0.2;5.0E-5;2.831068712794149E-15
1.291059;10.0;0.2;2.0E-4;2.831068712794149E-15
1.291059;10.0;0.2;8.0E-4;2.831068712794149E-15
1.291059;10.0;0.2;0.003;2.831068712794149E-15
1.291059;10.0;0.2;0.01;2.831068712794149E-15
1.291059;10.0;0.2;0.05;2.831068712794149E-15
1.291059;10.0;0.2;0.2;2.831068712794149E-15
1.291059;10.0;0.2;0.8;2.831068712794149E-15
1.291059;10.0;0.2;3.2;2.831068712794149E-15
1.291059;10.0;0.2;13.1;2.831068712794149E-15
1.291059;10.0;0.2;52.4;2.831068712794149E-15
1.291059;10.0;0.3;5.0E-5;5.662137425588298E-15
1.291059;10.0;0.3;2.0E-4;5.662137425588298E-15
1.291059;10.0;0.3;8.0E-4;5.662137425588298E-15
1.291059;10.0;0.3;0.003;5.662137425588298E-15
1.291059;10.0;0.3;0.01;5.662137425588298E-15
1.291059;10.0;0.3;0.05;5.662137425588298E-15
1.291059;10.0;0.3;0.2;5.662137425588298E-15
1.291059;10.0;0.3;0.8;5.662137425588298E-15
1.291059;10.0;0.3;3.2;5.662137425588298E-15
1.291059;10.0;0.3;13.1;5.662137425588298E-15
1.291059;10.0;0.3;52.4;5.662137425588298E-15
1.291059;10.0;0.4;5.0E-5;5.662137425588298E-15
1.291059;10.0;0.4;2.0E-4;5.662137425588298E-15
1.291059;10.0;0.4;8.0E-4;5.662137425588298E-15
1.291059;10.0;0.4;0.003;5.662137425588298E-15
1.291059;10.0;0.4;0.01;5.662137425588298E-15
1.291059;10.0;0.4;0.05;5.662137425588298E-15
